Kandidátní listina.číslo;Kandidátní listina.název;Kandidát.poř. číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
3;Sdružení ODS, NK​;19;Müller Michal​;48;ODS​;ODS​;export manager​;Pečky​
3;Sdružení ODS, NK​;20;Lukáš Jaroslav​;65;NK​;BEZPP​;zaměstnanec v logistice​;Pečky​
3;Sdružení ODS, NK​;21;Pešková Hana​;59;NK​;BEZPP​;ředitelka mateřské školy​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;1;Jedlička Martin Ing.​;58;NK​;BEZPP​;příslušník bezpečnostního sboru velitel HZS ČR, 2. místostarosta​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;2;Pečenka Milan​;56;NK​;BEZPP​;podnikatel​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;3;Jedličková Šárka Ing.​;55;NK​;BEZPP​;vedoucí finančního odboru​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;4;Sedláček Pavel​;58;NK​;BEZPP​;provozní technik​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;5;Cihlářová Alena​;26;NK​;BEZPP​;učitelka ZŠ​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;6;Pejřil Roman​;40;NK​;BEZPP​;řidič​;Velké Chvalovice​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;7;Bašta Jaroslav​;56;NK​;BEZPP​;provozní elektrikář​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;8;Hájek Aleš​;46;NK​;BEZPP​;řidič​;Velké Chvalovice​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;9;Cihlář Tomáš​;34;NK​;BEZPP​;učitel ZŠ​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;10;Vorlíčková Kristýna​;49;NK​;BEZPP​;odborný referent​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;11;Hotovec Jan​;33;NK​;BEZPP​;operátor výroby​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;12;Říha Daniel Dušan​;21;NK​;BEZPP​;student​;Velké Chvalovice​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;13;Doležalová Jana​;31;NK​;BEZPP​;asistent pedagoga​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;14;Pečenka Vojtěch​;28;NK​;BEZPP​;IT konzultant​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;15;Hájková Radka​;43;NK​;BEZPP​;manažer výroby​;Velké Chvalovice​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;16;Suchánek Lukáš​;34;NK​;BEZPP​;servisní technik​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;17;Vorlíček Jiří​;20;NK​;BEZPP​;technik CETIN​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;18;Jeřábek Petr​;43;NK​;BEZPP​;podnikatel​;Velké Chvalovice​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;19;Zachová Dana​;41;NK​;BEZPP​;koordinátorka staveb​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;20;Šedina Petr​;54;NK​;BEZPP​;směnový vedoucí​;Pečky​
4;Sdružení nezávislých kandidátů PEČKY PEČÁKŮM​;21;Korčák Václav​;49;NK​;BEZPP​;podnikatel​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;1;Vosecká Jaroslava​;64;SPD​;SPD​;výpravčí, městská zastupitelka​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;2;Hromádko Jan​;52;NK​;BEZPP​;energetický manažer Krajského úřadu Středočeského kraje​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;3;Toninger Karel​;54;NK​;BEZPP​;dispečer letecké dopravy - odbavení leteckého nákladu​;Velké Chvalovice​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;4;Růžička Tomáš​;54;SPD​;SPD​;elektrikář​;Pečky​
5;Lidé pro Pečky a Velké Chvalovice s podporou SPD​;5;Metelák Lubomír​;63;SPD​;SPD​;bezpečnostní pracovník - dohled pultu centrální ochrany​;Pečky​
